chr_base	start_base	end_base	name_base	A1_reads_base	A2_reads_base	total_reads_base	allelic_score_base	allelic_ratio_base	chr_target	start_target	end_target	name_target	A1_reads_target	A2_reads_target	total_reads_target	allelic_score_target	allelic_ratio_target	mechanism	linkage_score
chr12	109540995	109571729	Meg3	42841	19	42860	294.004	1	chr12	109603944	109661716	Rian	10804	4	10808	294.004	1	enhancing	2.47
chr7	59982500	60005156	Snurf	0	2277	2277	-294.004	0	chr7	59982501	60140219	Snrpn	1	2486	2487	-294.004	0	enhancing	2.47
chr12	109603944	109661716	Rian	10804	4	10808	294.004	1	chr12	109734980	109749458	Mirg	906	1	907	270.076	1	enhancing	2.43
chr7	6703891	6730441	Peg3	52	4733	4785	-294.004	0.01	chr7	6706759	6707624	Peg3os	4	694	698	-200.125	0.01	enhancing	2.3
chr7	6703891	6730441	Peg3	52	4733	4785	-294.004	0.01	chr7	6730559	6967220	Usp29	9	688	697	-189.805	0.01	enhancing	2.28
chr7	6706759	6707624	Peg3os	4	694	698	-200.125	0.01	chr7	6730559	6967220	Usp29	9	688	697	-189.805	0.01	enhancing	2.28
chr15	72589619	73061244	Trappc9	620	5329	5949	-294.004	0.1	chr15	72805603	72810324	Peg13	5	4600	4605	-294.004	0	enhancing	2.22
chr15	72501872	72547866	Kcnk9	937	31	968	232.946	0.97	chr15	72589619	73061244	Trappc9	620	5329	5949	-294.004	0.1	repressing	2.2
chr7	6730559	6967220	Usp29	9	688	697	-189.805	0.01	chr7	6955684	6976662	Zim3	5	555	560	-156.919	0.01	enhancing	2.2
chr9	89909475	90026979	Rasgrf1	218	3402	3620	-294.004	0.06	chr9	90091668	90114820	Morf4l1	531	45	576	105.98	0.92	repressing	1.99
chr7	61529409	61615327	B230209E15Rik	13	451	464	-114.868	0.03	chr7	61705849	61927574	A230057D06Rik	103	985	1088	-180.862	0.09	enhancing	1.94
chr7	62337786	62423821	Gm32061	5	324	329	-88.539	0.02	chr7	62348276	62349928	Ndn	4	309	313	-85.623	0.01	enhancing	1.92
chr15	98931426	98934560	Tuba1b	420	22	442	96.114	0.95	chr15	98949846	98953501	Tuba1a	1744	25	1769	294.004	0.99	enhancing	1.91
chr15	98917968	98942526	Gm41396	465	43	508	90.105	0.92	chr15	98931426	98934560	Tuba1b	420	22	442	96.114	0.95	enhancing	1.9
chr6	4674349	4747204	Sgce	3	282	285	-79.207	0.01	chr6	4747305	4760517	Peg10	1	325	326	-95.621	0	enhancing	1.89
chr3	107873857	107892900	Eps8l3	335	20	355	74.457	0.94	chr3	107888849	107896213	4933431E20Rik	519	33	552	113.019	0.94	enhancing	1.88
chr12	109452822	109463336	Dlk1	2	261	263	-74.63	0.01	chr12	109540995	109571729	Meg3	42841	19	42860	294.004	1	repressing	1.86
chr10	39612933	39655307	Traf3ip2	612	117	729	81.296	0.84	chr10	39621410	39732007	E130307A14Rik	658	150	808	76.181	0.81	enhancing	1.83
chr15	98917968	98942526	Gm41396	465	43	508	90.105	0.92	chr15	98949846	98953501	Tuba1a	1744	25	1769	294.004	0.99	enhancing	1.82
chr11	22899727	22983108	Commd1	26	347	373	-72.379	0.07	chr11	22972004	22976496	Zrsr1	2	319	321	-91.917	0.01	enhancing	1.75
