chr	start	end	name	A1_reads	A2_reads	total_reads	allelic_score	allelic_ratio
chr1	3199732	3672278	Xkr4	583	574	1157	0.39	0.5
chr1	3361551	3377812	Gm39585	1	2	3	0	0.33
chr1	4115672	4243365	Gm38717	6	0	6	0	1
chr1	4490927	4497386	Sox17	27	34	61	-0.655	0.44
chr1	4583126	4608781	LOC108167609	0	7	7	0	0
chr1	4595056	4602832	Gm39586	0	1	1	0	0
chr1	4608936	4617805	Gm29874	1	0	1	0	1
chr1	4773197	4785749	Mrpl15	94	77	171	0.957	0.55
chr1	4807559	4846739	Lypla1	116	105	221	0.601	0.52
chr1	4857693	4897909	Tcea1	223	60	283	22.8	0.79
chr1	4909572	5070308	Rgs20	47	28	75	1.733	0.63
chr1	5082977	5163213	Atp6v1h	231	151	382	4.602	0.6
chr1	5588449	5606134	Oprk1	10	17	27	-0.907	0.37
chr1	5913706	5917398	Npbwr1	1	0	1	0	1
chr1	6164705	6167315	LOC108167788	2	21	23	-4.481	0.09
chr1	6209862	6216612	4732440D04Rik	73	60	133	0.827	0.55
chr1	6214661	6276374	Rb1cc1	419	408	827	0.439	0.51
chr1	6359330	6394731	Fam150a	8	3	11	0.946	0.73
chr1	6377511	6382119	LOC108167611	3	0	3	0	1
chr1	6487230	6860940	St18	241	208	449	1.184	0.54
chr1	7088891	7173628	Pcmtd1	1343	1004	2347	11.858	0.57
chr1	7314637	7398666	Gm26901	76	4	80	17.86	0.95
chr1	8359738	9301066	Sntg1	202	224	426	-0.811	0.47
chr1	9545407	9547455	Rrs1	75	39	114	3.319	0.66
chr1	9547934	9577968	Adhfe1	105	87	192	0.959	0.55
chr1	9560831	9631092	2610203C22Rik	2346	1778	4124	18.332	0.57
chr1	9601266	9627142	3110035E14Rik	2277	1739	4016	16.972	0.57
chr1	9667406	9700439	Mybl1	23	17	40	0.668	0.58
chr1	9718621	9748382	Vcpip1	152	113	265	2.013	0.57
chr1	9747647	9771256	1700034P13Rik	2	0	2	0	1
chr1	9775557	9791319	Gm39590	3	0	3	0	1
chr1	9798129	9902570	Sgk3	148	131	279	0.772	0.53
chr1	9906156	9942166	Mcmdc2	77	17	94	9.869	0.82
chr1	9942024	9944118	Snhg6	28	26	54	0.351	0.52
chr1	9960162	9968207	Tcf24	10	5	15	0.821	0.67
chr1	9968621	10013541	Ppp1r42	10	5	15	0.821	0.67
chr1	10024599	10038159	Cops5	230	200	430	1.092	0.53
chr1	10038117	10136771	Cspp1	314	408	722	-3.577	0.43
chr1	10137506	10232670	Arfgef1	533	384	917	6.314	0.58
chr1	10295790	10720061	Cpa6	12	8	20	0.599	0.6
chr1	10993271	11303683	Prex2	1007	912	1919	1.798	0.52
chr1	11413562	11975902	A830018L16Rik	784	877	1661	-1.922	0.47
chr1	11979539	11991123	Gm30898	11	2	13	1.95	0.85
chr1	12029083	12061033	Gm30974	2	1	3	0	0.67
chr1	12692261	12861192	Sulf1	205	140	345	3.56	0.59
chr1	12866548	12993063	Slco5a1	49	28	77	1.958	0.64
chr1	13139104	13374083	Ncoa2	614	583	1197	0.715	0.51
chr1	13564692	13589910	Tram1	106	94	200	0.661	0.53
chr1	13625897	13660605	Lactb2	123	140	263	-0.791	0.47
chr1	13785684	13786929	Gm5523	19	5	24	2.481	0.79
chr1	13846499	13881933	Gm31195	2	0	2	0	1
chr1	14168952	14310267	Eya1	56	43	99	0.944	0.57
chr1	14753343	14756089	Msc	6	11	17	-0.779	0.35
chr1	14756150	14780974	LOC105243866	24	41	65	-1.635	0.37
chr1	14872647	14919014	Trpa1	0	1	1	0	0
chr1	15287156	15723751	Kcnb2	208	181	389	1.028	0.53
chr1	15804981	15844052	Terf1	154	160	314	-0.41	0.49
chr1	15853861	15892722	Sbspon	64	149	213	-8.563	0.3
chr1	15905204	15907764	Gm31523	2	0	2	0	1
chr1	16065973	16093344	4930444P10Rik	17	5	22	2.073	0.77
chr1	16101294	16104433	Rpl7	392	88	480	46.399	0.82
chr1	16105881	16132550	Rdh10	118	111	229	0.461	0.52
chr1	16228802	16520182	Stau2	353	361	714	-0.402	0.49
chr1	16253586	16263525	LOC102634042	5	2	7	0	0.71
chr1	16540787	16619415	Ube2w	476	404	880	2.08	0.54
chr1	16591020	16596309	LOC108167614	25	12	37	1.629	0.68
chr1	16641724	16657119	Tceb1	323	291	614	0.977	0.53
chr1	16665190	16678275	Tmem70	342	278	620	2.246	0.55
chr1	16688455	16709605	Ly96	18	9	27	1.214	0.67
chr1	16942103	17097904	Jph1	188	127	315	3.457	0.6
chr1	17097968	17100793	LOC108167615	4	2	6	0	0.67
chr1	17098572	17124568	Gm31982	25	6	31	3.358	0.81
chr1	17120596	17128971	Gm28783	7	1	8	0	0.88
chr1	17145372	17164271	Gdap1	1449	1372	2821	1.118	0.51
chr1	17168401	17173109	Gm28784	16	6	22	1.581	0.73
chr1	17601900	17630939	Pi15	22	16	38	0.68	0.58
chr1	17615097	17641382	Gm28154	27	17	44	1.06	0.61
chr1	17676026	17727646	Gm16070	18	3	21	3.128	0.86
chr1	17727028	17767235	Crispld1	36	23	59	1.231	0.61
chr1	17751285	17944776	Gm28153	169	130	299	1.857	0.57
chr1	18210052	18223564	Defb44-ps	1	0	1	0	1
chr1	19063299	19075464	Gm15825	0	2	2	0	0
chr1	19103021	19168592	Tfap2d	17	12	29	0.64	0.59
chr1	19208913	19238845	Tfap2b	50	48	98	0.337	0.51
chr1	20057778	20618082	Pkhd1	5	2	7	0	0.71
chr1	20356453	20392300	4930486I03Rik	2	0	2	0	1
chr1	20669881	20682958	Linc-md1	0	6	6	0	0
chr1	20777145	20785274	Il17f	0	1	1	0	0
chr1	20803013	20820213	Mcm3	13	27	40	-1.716	0.32
chr1	20888649	20890473	6720483E21Rik	7	4	11	0.562	0.64
