chr_base	start_base	end_base	name_base	name_target	start_target	end_target	linkage_score
chr12	109540995	109571729	Meg3	Rian	109603944	109661716	2.47
chr7	59982500	60005156	Snurf	Snrpn	59982501	60140219	2.47
chr12	109603944	109661716	Rian	Mirg	109734980	109749458	2.43
chr7	6703891	6730441	Peg3	Peg3os	6706759	6707624	2.3
chr7	6703891	6730441	Peg3	Usp29	6730559	6967220	2.28
chr7	6706759	6707624	Peg3os	Usp29	6730559	6967220	2.28
chr15	72589619	73061244	Trappc9	Peg13	72805603	72810324	2.22
chr15	72501872	72547866	Kcnk9	Trappc9	72589619	73061244	2.2
chr7	6730559	6967220	Usp29	Zim3	6955684	6976662	2.2
chr9	89909475	90026979	Rasgrf1	Morf4l1	90091668	90114820	1.99
chr7	61529409	61615327	B230209E15Rik	A230057D06Rik	61705849	61927574	1.94
chr7	62337786	62423821	Gm32061	Ndn	62348276	62349928	1.92
chr15	98931426	98934560	Tuba1b	Tuba1a	98949846	98953501	1.91
chr15	98917968	98942526	Gm41396	Tuba1b	98931426	98934560	1.9
chr6	4674349	4747204	Sgce	Peg10	4747305	4760517	1.89
chr3	107873857	107892900	Eps8l3	4933431E20Rik	107888849	107896213	1.88
chr12	109452822	109463336	Dlk1	Meg3	109540995	109571729	1.86
chr10	39612933	39655307	Traf3ip2	E130307A14Rik	39621410	39732007	1.83
chr15	98917968	98942526	Gm41396	Tuba1a	98949846	98953501	1.82
chr11	22899727	22983108	Commd1	Zrsr1	22972004	22976496	1.75
chr12	20766348	20924161	Gm6626	3110053B16Rik	20873363	20920930	1.66
chr2	156378144	156401480	Gm14170	2900097C17Rik	156388062	156392979	1.66
chr7	143106741	143427050	Kcnq1	Kcnq1ot1	143213110	143296547	1.62
chr1	125676995	125873862	Gpr39	Lypd1	125867621	125913151	1.61
chr7	59228749	59306733	Ube3a	Gm22496	59333159	59347582	1.59
chr7	61010263	61090414	A230006K03Rik	Gm38451	61090433	61161581	1.56
chr7	59969576	59974431	Snhg14	Snurf	59982500	60005156	1.55
chr7	59969576	59974431	Snhg14	Snrpn	59982501	60140219	1.55
chr7	61090433	61161581	Gm38451	Gm31445	61197064	61311768	1.55
chr11	99415663	99422593	Krt12	LOC101056001	99417137	99425499	1.53
chr1	36714537	36757960	4933424G06Rik	Gm33533	36714601	36744792	1.47
chr7	60833595	60922937	Gm29729	A230006K03Rik	61010263	61090414	1.45
chr16	13818829	13835450	Ntan1	Pdxdc1	13833160	13903145	1.43
chr5	98329041	98802053	1700007G11Rik	Mir703	98475555	98475664	1.43
chr7	83584289	83626852	Tmc3	Gm16638	83596597	83631926	1.43
chr5	28005941	28123931	Gm35223	Insig1	28071411	28078662	1.41
chr11	99417137	99425499	LOC101056001	Krt20	99428384	99438153	1.4
chr17	35994503	36038174	A930015D03Rik	H2-T24	36003991	36020845	1.38
chr7	61705849	61927574	A230057D06Rik	A330076H08Rik	61943900	61982303	1.36
chr11	99415663	99422593	Krt12	Krt20	99428384	99438153	1.33
chr4	129600690	129608533	Tmem234	Ccdc28b	129619273	129623908	1.32
chr7	59228749	59306733	Ube3a	C230091D08Rik	59307923	59324149	1.26
chr10	70599777	70680214	LOC108167819	D630013N20Rik	70601048	70655963	1.24
chr7	6674443	6696541	Zim1	Peg3	6703891	6730441	1.23
chr7	6674443	6696541	Zim1	Peg3os	6706759	6707624	1.23
chr7	6674443	6696541	Zim1	Usp29	6730559	6967220	1.23
chr17	33974658	33978791	H2-K2	AA388235	33981491	33985358	1.22
chr1	36691486	36693388	Cox5b	4933424G06Rik	36714537	36757960	1.17
chr1	36691486	36693388	Cox5b	Gm33533	36714601	36744792	1.17
chr14	64104322	64113751	Prss52	9630015K15Rik	64116232	64127625	1.17
chr17	33951998	33955641	Rps18	H2-K2	33974658	33978791	1.17
chr1	164858685	164900207	Gm32652	Gm20743	164863120	164871438	1.16
chr7	59307923	59324149	C230091D08Rik	Gm22496	59333159	59347582	1.16
chr18	12953397	12962658	Gm36490	Impact	12962941	12992950	1.15
chr17	33951998	33955641	Rps18	AA388235	33981491	33985358	1.13
chr17	30626935	30875762	Dnah8	Gm41561	30848426	30859232	1.12
chr10	70601048	70655963	D630013N20Rik	Gm40688	70626727	70635263	1.11
chr11	5106264	5152297	Emid1	LOC108167879	5112391	5131907	1.1
chr11	59197792	59202431	2610507I01Rik	Arf1	59211411	59228267	1.1
chr15	72589619	73061244	Trappc9	Ago2	73101624	73184947	1.1
chr3	107873857	107892900	Eps8l3	Gstm7	107926333	107931871	1.1
chr3	107888849	107896213	4933431E20Rik	Gstm7	107926333	107931871	1.1
chr10	70599777	70680214	LOC108167819	Gm40688	70626727	70635263	1.09
chr11	109932567	109995840	Abca8b	Abca8a	110025633	110097582	1.09
chr17	6256861	6308314	Tmem181a	Dynlt1a	6306343	6317474	1.09
chr4	150236725	150248873	Eno1	LOC102638183	150315146	150315616	1.09
chr6	85843820	85845390	Gm9769	Nat8f2	85865421	85869137	1.09
chr14	54941920	54968017	Myh6	Myh7	54970683	54994549	1.08
chr7	62193479	62279110	Gm9801	Gm32061	62337786	62423821	1.07
chr7	62193479	62279110	Gm9801	Ndn	62348276	62349928	1.06
chr14	64099294	64104235	4930471C04Rik	Gm17116	64111198	64115980	1.05
chr14	64111198	64115980	Gm17116	9630015K15Rik	64116232	64127625	1.03
chr17	33951998	33955641	Rps18	H2-K1	33996011	34000341	1.03
